booksGenreId,itemCaption
001010010001/001010010002,睡眠・食事・運動・入浴…ほんの少し意識を変えるだけで、病気のリスクが劇的に下がる！毎日の体調が変わる！仕事のパフォーマンスが上がる！ＵＣＬＡ准教授・医師の著者が世界の質の高い論文１７５本を元にまとめた、黄金の健康のルール。
001015,
001028006003,
001003003001,コーク、正義のヒーローに！初めての入院で出会った病気と闘う仲間たち、そして悲しい別れ。コークはプログラマとして戦う！大人気絵本アプリ森のえほん館アプリ×書籍コラボ第８弾！ＳＮＳやスマホの時代、子どもたちに伝えておきたい大切なこと。
001015,
001028002007/001028005006,
001006007001/001006018002,
001028006003,
001028006005,
001001012/001006002/001006019003/001010011007,女子は共感・男子は震撼！？大人気のコミックエッセイ。更衣室でのナイショ話、こ〜っそりお届け。
001028006007,デジタルヘルスに係るビジネスは、医療機器・医薬品業界等のヘルスケア業界にとどまらず、ＩＴ、通信系、コンシューマー系といった非ヘルスケア業界の参入が目覚ましい分野である。しかし、人の生命・健康に関連するという特性上、研究開発から製造、販売、広告に至るまで、業界特有の規制があり、細心の注意を払う必要がある。そこで本書では、主に非ヘルスケア事業を営んでいる企業が、デジタルヘルスケアビジネスに参入する際の法的留意点を解説するとともに、同ビジネスを取り巻く国の施策等、最新動向を概観する。
001028006003,
001028006003/001028012001,対人からマスメディア、医療面接からヘルスキャンペーンまで、ヘルスコミュニケーションの学術的な理論や概念、スキルを系統的に学ぶ。
001015,獣医師になって、どんな道を歩いていこう？獣医師の多様な働き方・生き方を、先輩たちの生の声とともに描く。
001008004001/001010013003,新しい暮らしはビジネスリーダーから学べ。仕事も私生活も充実させているビジネスリーダー実践の爽快に生きるためのアプローチ方法を解説。自分らしさを大切に、心身ともに豊かな暮らしを手に入れるための一助となる書。
