booksGenreId,itemCaption
001006005,Ｐｙｔｈｏｎひとつでかんたんに、本格的な株価分析を体験。株価データの収集→分析・可視化→売買ルールのシミュレーション。株初心者でも読める、実践的な分析方法を網羅、サンプルプログラムですぐに試せる。
001005017,圧倒的にわかりやすい！人気講義を完全再現！入門から応用、一流コードスタイルまで最強のプログラミングが１冊で学べる！
001005017,Ｗｅｂ開発やデータ分析などの分野で、ユーザー数が増えてきているＰｙｔｈｏｎ。最近では、Ｐｙｔｈｏｎに触れる方も多くなってきています。本書はそうしたＰｙｔｈｏｎ初心者の方に向けて、ヤギ博士とフタバちゃんと一緒に基本的なプログラムの作成から、面白い人工知能アプリの作成までを体験。対話形式でプログラミングのしくみを学ぶことができます。
001005006003/001005017,入力はだれでも使えるＥｘｃｅｌ、実行はなんでもできるＰｙｔｈｏｎ、これが最強。自分も便利！チームも喜ぶ！仕事がはかどる！
001005017,フレームワークやライブラリを使う前に基礎を押さえる！Ｐｙｔｈｏｎを学ぶための“標準教科書”。プログラミングに必要な知識・概念・機能を体系的かつ網羅的に習得。解説、例題、練習問題の３ステップでよくわかる。
001005017,本書は、Ｐｙｔｈｏｎを利用するうえで役立つ、Ｐｙｔｈｏｎの言語とさまざまなライブラリの使い方をわかりやすく解説した書籍です。Ｐｙｔｈｏｎの基本であり、入門書では取り上げられることが少ない重要トピックとＰｙｔｈｏｎでよく使われる標準ライブラリ、サードバーティライブラリを厳選して解説しています。普段から手元に置いて、困ったことがあればまず手にとる本として活用してください。
001005005011/001005017,データサイエンスやウェブ開発、セキュリティなど、さまざまな分野で人気を獲得してきているＰｙｔｈｏｎ。本書は、ベストセラーの６年ぶりの改訂版で、プログラミング初級者を対象としたＰｙｔｈｏｎの入門書です。プログラミングおよびＰｙｔｈｏｎの基礎から、ウェブ、データベース、ネットワーク、並行処理といった応用まで、実践を見据えたＰｙｔｈｏｎプログラミングをわかりやすく丁寧に説明します。Ｐｙｔｈｏｎ３．９に対応し、ｆ文字列などの新機能も追加され大幅にボリュームアップしました。Ｐｙｔｈｏｎの機能をひと通り網羅し、リファレンスとしても便利です。
001005017,はじめての人・つまずいた人・納得したい人のための入門書。サクサク進めてしくみもバッチリ！プログラミングの「本質」を身に付け未来への道を切り拓こう！業務自動化、データサイエンス、人工知能、アプリ開発プログラマへの第一歩！
001005006003/001005017,プログラミング初心者でも全部できる！Ｐｙｔｈｏｎプログラミングの始め方から自動化に必要な知識まで、この１冊に完全収録。
001005017,
001005017,Ｐｙｔｈｏｎで学ぶプログラムの作り方、最新の知識と技術を一冊に凝縮。ＡＩ、スクレイピング、データベース、仕事の自動化、必須テクニックをしっかりサポート！
001005005011/001005017,本書は、機械学習コンセプト全般をカバーし、理論的背景とＰｙｔｈｏｎコーディングの実際を解説しています。初歩的な線形回帰から始め、ディープラーニング（ＣＮＮ／ＲＮＮ）、敵対的生成ネットワーク（ＧＡＮ）、強化学習などを取り上げ、ｓｃｉｋｉｔ-ｌｅａｒｎやＴｅｎｓｏｒＦｌｏｗなどＰｙｔｈｏｎライブラリの新版を使ってプログラミング。第３版では１３〜１６章の内容をほとんど刷新したほか、敵対的生成ネットワークと強化学習の章を新たに追加。機械学習プログラミングの本格的な理解と実践に向けて大きく飛躍できる一冊です。
001006018002,Ｅｘｃｅｌ取込・出力、データ集計、Ｗｅｂスクレイピング、ファイル操作、メール自動送信、マウス操作、ＰＤＦ編集ーすぐに役立つ！あらゆる操作に応用できる！実践テクニック満載。
001005017,適切なサンプルプログラム２９９編と分かりやすい図表１６５点で、Ｐｙｔｈｏｎの文法とプログラミングの基礎を系統立てて着実に学習できます。
001005017,大規模開発にも役立つ実践的なテクニックを満載！基礎からの学習にも最適なコードサンプルを満載！ディープラーニング／データマイニングに役立つ！必要なコードと操作を目的からすぐに探し出せる！
001005017,はじめての人でも安心！やさしくプログラミングを教えます！「ブロック崩し」や「シューティングゲーム」を作ってＰｙｔｈｏｎを学ぼう！
001005017,ヤギ博士＆フタバちゃんと一緒に、機械学習のしくみを丁寧に解説。サンプルデータの見方からはじまり、機械学習の手順をいちから説明しています。またいろいろなアルゴリズムも紹介。最終章では画像から数字を予測する機械学習を体験できます。
001005017,
001005017,
001005002001/001005005001/001005017,大手メーカーで活躍してきた敏腕クリエイターが、ゲーム開発のノウハウをゼロから教えます。クイズ、すごろく、おみくじ、迷路ゲーム、診断アプリ、落ち物パズル、本格ＲＰＧ…ｅｔｃ．人気ジャンルを題材にして開発の基礎を学ぼう！
001012002,Ｐｙｔｈｏｎ、数学、前処理、可視化、機械学習。データ分析エンジニアに必要な基礎技術をしっかり習得！
001005017/001012010001,「プログラミングは難しそう」「仕事が忙しくて勉強時間があまりない」本書では実践的なサンプルで最小限のコツを押さえられます！プログラミングは難しいものではありません。あらかじめ用意されたプログラムの部品を活用して、少ないコードでたくさんの自動化を実現できます！
001005017,本書は、現在もっとも幅広く使われているプログラミング言語の１つ「Ｐｙｔｈｏｎ」がはじめてという初心者を対象に、文法やプログラミングの基本知識をわかりやすく丁寧に教える入門書です。これまで筆者が数多くの学生に対してプログラミングの授業をしてきた経験を活かし、プログラミング初学者が「Ｐｈｔｈｏｎ言語を通してプログニミングを学ぶ」というコンセプトで、文法やプログラミングの基礎知識についてやさしく解説します。Ｐｙｔｈｏｎでプログラミングをはじめたい学生や新人エンジニアにも最適な一冊です。変数やｉｆ文による条件分岐、ｆｏｒ文やｗｈｉｌｅ文を使った繰り返しから、クラスやメソッドの使い方、作り方まで、つまずきやすいところをケアしながら解説します。
001005005011/001005017,
001002007/001005005001/001005017/001022001,
001012002,スクレイピングなどで集めた大量のデータ。どうやって分析したらよいか、困っていませんか？「数式があって難しそう」「プログラムも大変そう」と思っている方も多いはず。本書は、そうした方に向けて、サンプルを元にやさしくデータ分析の方法を解説しています。
001005017,Ｐｙｔｈｏｎでやりたいことがスグに逆引きできる究極のレシピ集。基礎知識にはじまり、定番機能の解説、開発現場でニーズの高いテクニックまであますところなく集めました。基本文法／数値処理／テキスト処理／データベース／ＨＴＴＰリクエスト／データ分析／画像処理…。繰り返し参照しやすい形式で構文やコードをわかりやすく整理。脱初心者から駆け出しのエンジニア、ホビープログラマー、研究者まで。Ｐｙｔｈｏｎでプログラミングするすべての方にお届けします。
001005005009/001005017,
001005017/001012010001,機械学習やデータ分析になくてはならない「データ」。このようなデータは、インターネット上に膨大にありますが、Ｐｙｔｈｏｎを使えば効率よくデータ収集できます。こうした手法を「スクレイピング」といいます。本書はＰｙｔｈｏｎを一通りまなんだ方に向けて、簡単なサンプルを作りながら、会話形式でスクレイピングのしくみをまなぶ書籍です。対象読者はＰｙｔｈｏｎの基本文法は知っている方（『Ｐｙｔｈｏｎ１年生』を読み終えた方）、データ収集やデータ分析の初心者。ヤギ博士＆フタバちゃんと一緒に、インターネットからのファイルのダウンロード方法、ＨＴＭＬ解析の方法、いろいろなデータの読み書き、ＡＰＩの使い方といったデータ収集、便利なライブラリを利用した簡単な可視化手法を解説します。
001005006002/001005006003/001005017,ビジネス現場では、様々な業務でＰｙｔｈｏｎが利用され始めています。Ｐｙｔｈｏｎを利用すれば、非常に短いコードで、日々の業務を劇的に効率化できます。日常業務でもよくありがちな面倒な業務をＰｙｔｈｏｎを利用して自動化する手法をまとめています。
001012002,本書はＰｙｔｈｏｎの代表的なデータ分析ツール、ｐａｎｄａｓの開発者Ｗｅｓ　ＭｃＫｉｎｎｅｙによる、データ分析を行うための基本を網羅しています。すべてのサンプルコードはダウンロード可能で、Ｊｕｐｙｔｅｒ　Ｎｏｔｅｂｏｏｋで対話的に試し、実際に手を動かしながら知識を確実なものにすることが可能です。Ｐｙｔｈｏｎ３に対応した待望の改訂版。
001005005001/001005005011/001005017,世界観・ルール・難易度の設定、ＧＵＩ操作、処理の切替え。「ミニゲーム」「ドットイートアクション」「マップエディタ」「弾幕シューティング」「３Ｄカーレース」「ランチャー」…ｅｔｃ人気ジャンルを題材にして開発の腕を磨こう！
001005017,コーディングから深層学習まで実践的に解説！実用プログラム満載。Ｐｙｔｈｏｎの基礎からよくわかる！
001005005011/001005006003/001005017,一歩先行くハイパフォーマンスなビジネスパーソンからの圧倒的な支持を獲得し、自作ＲＰＡ本の草分けとして大ヒットしたベストセラー書の改訂版。劇的な「業務効率化」「コスト削減」「生産性向上」を達成するには、単純な繰り返し作業の自動化は必須です。本書ではＷｏｒｄやＥｘｃｅｌ、ＰＤＦ文書の一括処理、Ｗｅｂサイトからのダウンロード、メールやＳＭＳの送受信、画像処理、ＧＵＩ操作といった日常業務でよく直面する面倒で退屈な作業を、Ｐｙｔｈｏｎと豊富なモジュールを使って自動化します。今回の改訂では、ＧｍａｉｌやＧｏｏｇｌｅスプレッドシートの操作、Ｐｙｔｈｏｎと各種モジュールの最新版への対応、演習等を増補しています。日本語版では、ＰｙＩｎｓｔａｌｌｅｒによるＥＸＥファイルの作成方法を巻末付録として収録しました。
001005017,基礎を固め、つくりながら学ぶ。武器としてのＰｙｔｈｏｎをこの１冊で身につける！
001006018002,Ｅｘｃｅｌ作業からブラウザ操作、メールやＳＮＳの送信まで、一気に自動化！面倒な定型作業は、Ｐｙｔｈｏｎでラクに自動化しよう！
001028001012,
001005017,オブジェクト指向、シェル、正規表現、パッケージ管理、バージョン管理、データ構造、アルゴリズム、仕事の見つけ方・やり方。Ｐｙｔｈｏｎ言語の基本から仕事のやり方まで、プログラマーとして働くために必要な知識・ノウハウが１冊で丸わかり。
001005017/001012010001,Ｐｙｔｈｏｎによるクローラー・スクレイパー開発が基礎からわかる。複雑なデータへの対処や運用、分析など実践ノウハウを紹介。強力なライブラリ・フレームワークによる高効率開発。Ｗｅｂデータ収集・解析の技法を基礎から実用まで徹底解説。
001005006003/001005017/001006018002,ぶっちゃけ「Ｐｙｔｈｏｎ」って何？どんなことができるの？知識ゼロでも仕事で使える？道具は必要？ｅｔｃ．「Ｐｙｔｈｏｎ」のことが何もわからなくても、コード表をコピペするだけ。教育系ＹｏｕＴｕｂｅｒがやさしく解説。めんどうな作業時間を１０分の１に！全編解説動画つきでわかりやすさ最強。
001005017/001020009,Ｐｙｔｈｏｎは、ＡＩの開発やデータ分析、統計など何かと話題の分野で必須のプログラミング言語です。本書では、３つのプログラムを作り、動かしながらＰｙｔｈｏｎの基本からちょっとした応用を学びます。１つ１つの手順を丁寧に解説するので、書いてあるとおりにプログラムを作っていくだけで自然とＰｙｔｈｏｎの使い方や特長をマスターできます。
001005017,誰にでも読みやすいＣｌｅａｎ　Ｃｏｄｅを実践しよう。プロのプログラマーのコードの書き方を学ぼう。Ｐｙｔｈｏｎ　３．６以降対応。
001005017,“見込み客予測”“土日の需要”“商品リコメンド”数学なしでアルゴリズム選びもチューニングもわかる。営業、マーケティングが劇的に変わる。全ＰｙｔｈｏｎコードをＧｏｏｇｌｅ　Ｃｏｌａｂ用のＮｏｔｅｂｏｏｋ形式で用意。
001005005001/001005006003/001005017/001006009001/001006018002,Ｅｘｃｅｌファイルの連結、メールから自動コピペ、ファイルの自動整理、Ｗｅｂスクレイピング、画像認識、決裁書類の自動押印、動画の無音部分カット。Ｐｙｔｈｏｎでこんなこともできるんだ！
001005017,研究や開発、データ分析に使える！科学技術計算におけるＰｙｔｈｏｎ利用の基礎を習得。高機能で、学びやすいＰｙｔｈｏｎは、科学技術計算の用途でも広く利用されています。本書は、コンピュータを用いて数学的問題の解決に取り組む学生、エンジニア、研究者の方に向けて、Ｐｙｔｈｏｎの基礎知識と、Ｐｙｔｈｏｎの科学技術計算への利用方法について解説した書籍です。
001005017/001012010001,アイディアがあったらＷｅｂサービスやアプリを作って、ビジネスにもつなげたいが。どうすれば？ウチの会社のビジネスはネットでもいけるんじゃない？まずプロトタイプを作って自社のＷｅｂサービスを載せてみよう。でもどうやって？ＩｎｓｔａｇｒａｍのあれやＵｂａｒのこれやみたいな仕組みを取り入れたいんだけど…。どうなっているの？そんなアナタにＷｅｂサービスの作り方、教えます。
001005017,シンプルな文法と豊富な機能で読みやすいコードへ。基本文法から開発の実例まで一挙に解説。
