booksGenreId,itemCaption
001010010001/001010010002,健康習慣を変えられないのは、怠け者だからでも意志が弱いからでもない。ハーバード大学の公衆衛生大学院で、人がより健康で幸せに生きるための方法について研究・実践するために、パブリックヘルス（公衆衛生）を学んだ専門家が、「食事」「行動」「習慣」「運動」「睡眠」「ストレス」「感情」などに関して、最先端のエビデンスでわかった、科学的に正しい「健康になる技術」「最新の健康情報」を厳選して伝える！長生きするための健康習慣の身につけ方が、これ１冊ですべてわかる！
001010010001,
001010010001/001010010002/001010011001,
001010010001,健康づくりテキストの決定版！！第１２回試験以降対応、最新改訂版。
001010010001,医師や薬に頼らない。メガ量のビタミン健康法で、疲れ知らず、不調知らず！プロテイン＋鉄＋メガビタミンで免疫力アップ！新型コロナも怖くない！
001010010001/001010010002/001020002/001020010,新進気鋭の専門医が徹底検証。
001010010001/001010010002,まもなく人生１２０年時代が到来！医療未来学で注目を浴びる著者が、誰にでもできる「超長寿時代」の健康ソリューションをわかりやすくガイド！
001010010001/001010010002/001010012001,
001010006006/001010010001/001010010002,４２の真実と９つの基本ルールを紹介！１５００冊を超える「健康書」を作ってきたプロ編集者チームが、健康書ジャンルのベストセラー本、話題となった本、同業者の間で注目を集めた良書など１００冊から、「健康上手」になるコツを抽出しました。
001017004,古竜サジハリにバルミントを預けた後、シュウヤはサジハリから話を聞いた、謎めいた女魔術師の下に向かう。その途中で彼は、魔人帝国ハザーンの軍勢と遭遇し、痛快無双を繰り広げることに！その後、ペルネーテに戻り眷属たちと迷宮世界の邪界に挑み、そこで三眼魔族の少女・ムクを助けることになったシュウヤは、強力な四腕の魔剣士“狂眼”トグマと激突する！ほかに新ヒロイン・ピュリンの本格登場、ママニたち女戦闘奴隷らの眷属化や、新たな乗り物・オービタルをゲットするなど、多彩なエピソードで紡ぐ人気アクションシリーズ最新巻！
001010010001/001020002,頭が冴える、判断が速くなる、ダルくならない、眠くならない、ビジネスでパフォーマンスを２４０％上げる食べ物・飲み物・その摂り方。
001023001,
001002006003,
001010010001/001010010002,
